id,name,constituencyLabel,constituency,partyLabel,party
Q34201755,Peter Wiafe Pepera,Abetifi,Q4667241,NPP,Q1148441
Q1370096,Esther Obeng Dapaah,Abirem,Q4667918,NPP,Q1148441
Q84561719,Theophilus Tettey Chaie,Ablekuma Central,Q4668084,NDC,Q200875
Q84561706,Justice Joe Appiah,Ablekuma North,Q4668086,NPP,Q1148441
Q5504853,Fritz Baffour,Ablekuma South,Q4668085,NDC,Q200875
Q84496267,Amadu Bukari Sorogho,Abokobi-Madina,Q4668231,NDC,Q200875
Q84043497,Anthony Christian Dadzie,Abura-Asebu-Kwamankese,Q4670647,NDC,Q200875
Q35562144,Osei Bonsu Amoah,Aburi-Nsawam,Q4670661,NPP,Q1148441
Q4717883,Alex Narh Tettey-Enyo,Ada,Q4678215,NDC,Q200875
Q17386197,Kobina Tahir Hammond,Adansi-Asokwa,Q4680635,NPP,Q1148441
Q96876095,Kojo Adu Asare,Adenta,Q4682308,NDC,Q200875
Q43597264,Hennric David Yeboah,Afigya Sekyere East,Q4689244,NPP,Q1148441
Q2638264,Albert Kan-Dapaah,Afigya Sekyere West,Q4689243,NPP,Q1148441
Q42304491,Emmanuel Aboagye Didieye,Afram Plains North,Q4689425,NDC,Q200875
"",Raphael Kofi Ahaligah,Afram Plains South,Q4689426,NDC,Q200875
Q96943363,John Agyabeng,Agona East,Q4693337,NPP,Q1148441
Q96943509,Samuel Kweku Obodai,Agona West,Q4693339,NPP,Q1148441
"",Richard Akuoko Adiyiah,Ahafo Ano North,Q4694906,NPP,Q1148441
Q96881552,Stephen Kwaku Balado Manu,Ahafo Ano South,Q4694905,NPP,Q1148441
Q96762095,Samuel Johnfiah,Ahanta West,Q4694967,NPP,Q1148441
Q61694564,Cassiel Ato Forson,Ajumako-Enyan-Essiam,Q4699979,NDC,Q200875
Q84080326,Joseph Kwadwo Ofori,Akan,Q4700241,NDC,Q200875
Q96989295,Samuel Kwadwo Amoako,Akim Abuakwa North,Q4701010,NPP,Q1148441
Q33129374,Samuel Atta Akyea,Akim Abuakwa South,Q4701011,NPP,Q1148441
Q84589649,Yaw Owusu-Boateng,Akim Oda,Q4701018,NPP,Q1148441
Q96945314,Joseph Ampomah Bosompem,Akim Swedru,Q4701025,NPP,Q1148441
Q61694639,Kwabena Appiah-Pinkrah,Akrofuom,Q4701650,NPP,Q1148441
Q84041410,William Ofori Boafo,Akropong,Q4701713,NPP,Q1148441
"",Kofi Asare,Akwatia,Q4702014,NPP,Q1148441
Q83688209,Grace Addo,Amansie West,Q4739923,NPP,Q1148441
Q61679889,George Kofi Arthur,Amenfi Central,Q4742406,NDC,Q200875
Q1706633,Joseph Baiden-Aidoo,Amenfi East,Q4742408,NPP,Q1148441
Q61680053,John Gyetuah,Amenfi West,Q4742410,NDC,Q200875
Q5131356,Clement Kofi Humado,Anlo,Q4766139,NDC,Q200875
Q61694736,Mathias Kwame Ntow,Aowin,Q4778823,NDC,Q200875
Q59180272,Kwame Anyimadu-Antwi,Asante-Akim North,Q4803553,NPP,Q1148441
Q96738477,Gifty Ohene-Konadu,Asante-Akim South,Q4803554,NPP,Q1148441
